id,location,text
meta.defaultdescription,Site-wide — default search-engine description (browser tab / search engines),"A refined London dance and performing arts school offering ballet, contemporary, jazz, drama, and more — for every age and stage."
meta.shortname,Site-wide — short name (browser tab / search engines),CHD PAS
meta.sitename,Site-wide — site name (browser tab / search engines),County Hall Dance & Performing Arts School
global.utilitybar.email.label,Top bar — email label,hello@countyhalldance.co.uk
global.utilitybar.findus.label,Top bar — Find us label,Find us
global.utilitybar.phone.label,Top bar — phone label,+44 20 7946 0958
global.utilitybar.social.facebook.label,Top bar — Facebook label,Follow us on Facebook
global.utilitybar.social.instagram.label,Top bar — Instagram label,Follow us on Instagram
global.utilitybar.social.youtube.label,Top bar — YouTube label,Watch us on YouTube
global.logo.alt,Logo — image description (accessibility),County Hall Dance & Performing Arts School
global.logo.nameline1,Logo — school name (line 1),County Hall
global.logo.nameline2,Logo — school name (line 2),Dance & Performing Arts School
global.navigation.booktrial.label,Header — Book a Trial button,Book a Trial
global.navigation.items.about_us.children.about_us.label,Header menu — About Us → About Us,About Us
global.navigation.items.about_us.children.contact.label,Header menu — About Us → Contact,Contact
global.navigation.items.about_us.children.faqs.label,Header menu — About Us → FAQs,FAQs
global.navigation.items.about_us.children.gift_cards.label,Header menu — About Us → Gift Cards,Gift Cards
global.navigation.items.about_us.children.join_us.label,Header menu — About Us → Join Us,Join Us
global.navigation.items.about_us.children.membership_terms.label,Header menu — About Us → Membership Terms,Membership Terms
global.navigation.items.about_us.label,Header menu — About Us,About Us
global.navigation.items.classes.children.booking.label,Header menu — Classes → Booking,Booking
global.navigation.items.classes.children.class_descriptions.label,Header menu — Classes → Class Descriptions,Class Descriptions
global.navigation.items.classes.children.instructors.label,Header menu — Classes → Instructors,Instructors
global.navigation.items.classes.children.taster_classes.label,Header menu — Classes → Taster Classes,Taster Classes
global.navigation.items.classes.children.timetable.label,Header menu — Classes → Timetable,Timetable
global.navigation.items.classes.label,Header menu — Classes,Classes
global.navigation.items.events.children.cross_arts_events.label,Header menu — Events → Cross-Arts Events,Cross-Arts Events
global.navigation.items.events.children.masterclasses.label,Header menu — Events → Masterclasses,Masterclasses
global.navigation.items.events.children.milonga.label,Header menu — Events → Milonga,Milonga
global.navigation.items.events.children.performances.label,Header menu — Events → Performances,Performances
global.navigation.items.events.children.social_dance_nights.label,Header menu — Events → Social Dance Nights,Social Dance Nights
global.navigation.items.events.children.workshops.label,Header menu — Events → Workshops,Workshops
global.navigation.items.events.label,Header menu — Events,Events
global.navigation.items.membership.children.booking_access.label,Header menu — Membership → Booking Access,Booking Access
global.navigation.items.membership.children.member_benefits.label,Header menu — Membership → Member Benefits,Member Benefits
global.navigation.items.membership.children.monthly_passes.label,Header menu — Membership → Monthly Passes,Monthly Passes
global.navigation.items.membership.label,Header menu — Membership,Membership
global.navigation.items.private_lessons.children.corporate_events.label,Header menu — Private Lessons → Corporate Events,Corporate Events
global.navigation.items.private_lessons.children.couples_dance.label,Header menu — Private Lessons → Couples' Dance,Couples' Dance
global.navigation.items.private_lessons.children.first_wedding_dance.label,Header menu — Private Lessons → First Wedding Dance,First Wedding Dance
global.navigation.items.private_lessons.children.group_experiences.label,Header menu — Private Lessons → Group Experiences,Group Experiences
global.navigation.items.private_lessons.children.one_to_one_lessons.label,Header menu — Private Lessons → One-To-One Lessons,One-to-One Lessons
global.navigation.items.private_lessons.children.school_organisation_workshops.label,Header menu — Private Lessons → School / Organisation Workshops,School / Organisation Workshops
global.navigation.items.private_lessons.label,Header menu — Private Lessons,Private Lessons
global.navigation.items.shop.children.accessories.label,Header menu — Shop → Accessories,Accessories
global.navigation.items.shop.children.county_hall_merchandise.label,Header menu — Shop → County Hall Merchandise,County Hall Merchandise
global.navigation.items.shop.children.dancewear.label,Header menu — Shop → Dancewear,Dancewear
global.navigation.items.shop.children.t_shirts.label,Header menu — Shop → T-Shirts,T-Shirts
global.navigation.items.shop.label,Header menu — Shop,Shop
global.navigation.items.studio_hire.children.our_space.label,Header menu — Studio Hire → Our Space,Our Space
global.navigation.items.studio_hire.children.space_booking.label,Header menu — Studio Hire → Space Booking,Space Booking
global.navigation.items.studio_hire.label,Header menu — Studio Hire,Studio Hire
global.navigation.search.label,Header — search label,Search
global.navigation.search.placeholder,Header — search placeholder text,"Search classes, courses, events…"
global.footer.columns.explore.links.classes.label,Footer — Explore column — Classes,Classes
global.footer.columns.explore.links.courses.label,Footer — Explore column — Courses,Courses
global.footer.columns.explore.links.events.label,Footer — Explore column — Events,Events
global.footer.columns.explore.links.faq.label,Footer — Explore column — FAQ,FAQ
global.footer.columns.explore.links.gift_cards.label,Footer — Explore column — Gift Cards,Gift Cards
global.footer.columns.explore.title,Footer — Explore column heading,Explore
global.footer.columns.school.links.about_us.label,Footer — School column — About Us,About Us
global.footer.columns.school.links.careers.label,Footer — School column — Careers,Careers
global.footer.columns.school.links.our_faculty.label,Footer — School column — Our Faculty,Our Faculty
global.footer.columns.school.links.private_events.label,Footer — School column — Private Events,Private Events
global.footer.columns.school.title,Footer — School column heading,The School
global.footer.contact.address.0,Footer — contact address line 1,County Hall Dance Studio
global.footer.contact.address.1,Footer — contact address line 2,Belvedere Road
global.footer.contact.address.2,Footer — contact address line 3,London SE1 7GP
global.footer.contact.email,Footer — contact email,hello@countyhalldance.co.uk
global.footer.contact.phone,Footer — contact phone,+44 20 7946 0958
global.footer.contact.title,Footer — contact heading,Visit Us
global.footer.copyright,Footer — copyright line at the bottom,© {year} County Hall Dance & Performing Arts School. All rights reserved.
global.footer.intro,Footer — intro paragraph under the logo,"County Hall Dance & Performing Arts School nurtures confidence, artistry, and joy through exceptional training in the heart of London."
global.footer.legal.cookie_policy.label,Footer — legal links — Cookie Policy,Cookie Policy
global.footer.legal.privacy_policy.label,Footer — legal links — Privacy Policy,Privacy Policy
global.footer.legal.safeguarding.label,Footer — legal links — Safeguarding,Safeguarding
global.footer.legal.terms_conditions.label,Footer — legal links — Terms & Conditions,Terms & Conditions
global.footer.newsletter.description,Footer — newsletter description,"Occasional news on classes, masterclasses, and performances."
global.footer.newsletter.placeholder,Footer — newsletter placeholder text,Your email address
global.footer.newsletter.privacynote,Footer — newsletter privacy note under the form,We respect your privacy. Unsubscribe anytime.
global.footer.newsletter.submitlabel,Footer — newsletter button label,Subscribe
global.footer.newsletter.title,Footer — newsletter heading,Stay in touch
home.hero.nextlabel,Homepage — hero carousel — Next button,Next
home.hero.previouslabel,Homepage — hero carousel — Previous button,Previous
home.hero.slides.hero_classes.blurb,Homepage — Classes slide — short description,"Explore adult classes in Contemporary, Chinese Dance, Tango, Yoga and Tai Chi."
home.hero.slides.hero_classes.cta.label,Homepage — Classes slide — button,View Classes
home.hero.slides.hero_classes.headline,Homepage — Classes slide — headline,Classes
home.hero.slides.hero_classes.image.alt,Homepage — Classes slide — image description (accessibility),Adult dance class at County Hall Dance Centre
home.hero.slides.hero_events.blurb,Homepage — Events slide — short description,"Milongas, themed social nights, masterclasses and cross-arts events."
home.hero.slides.hero_events.cta.label,Homepage — Events slide — button,View Events
home.hero.slides.hero_events.headline,Homepage — Events slide — headline,Events
home.hero.slides.hero_events.image.alt,Homepage — Events slide — image description (accessibility),Social dance night at County Hall Dance Centre
home.hero.slides.hero_intro.blurb,Homepage — Intro slide — short description,"Dance, movement and creative experiences at London's iconic County Hall on the South Bank — classes, workshops and events for adults of every background and level of experience."
home.hero.slides.hero_intro.cta.label,Homepage — Intro slide — button,Explore Classes
home.hero.slides.hero_intro.headline,Homepage — Intro slide — headline,"Discover dance, movement and creative experiences at London's iconic County Hall."
home.hero.slides.hero_intro.image.alt,Homepage — Intro slide — image description (accessibility),County Hall Dance Centre on the South Bank
home.hero.slides.hero_membership.blurb,Homepage — Membership slide — short description,"A more flexible way to keep dancing, join events and belong to the community."
home.hero.slides.hero_membership.cta.label,Homepage — Membership slide — button,Membership
home.hero.slides.hero_membership.headline,Homepage — Membership slide — headline,Membership
home.hero.slides.hero_membership.image.alt,Homepage — Membership slide — image description (accessibility),Members enjoying a class at County Hall Dance Centre
home.hero.slides.hero_private_lessons.blurb,Homepage — Private Lessons slide — short description,"Tailored sessions for individuals, couples, wedding first dances and small groups."
home.hero.slides.hero_private_lessons.cta.label,Homepage — Private Lessons slide — button,Enquire
home.hero.slides.hero_private_lessons.headline,Homepage — Private Lessons slide — headline,Private Lessons & Experiences
home.hero.slides.hero_private_lessons.image.alt,Homepage — Private Lessons slide — image description (accessibility),Private dance lesson at County Hall Dance Centre
home.hero.slides.hero_studio_hire.blurb,Homepage — Studio Hire slide — short description,"A South Bank space for dance, theatre and film rehearsals, castings, workshops and events."
home.hero.slides.hero_studio_hire.cta.label,Homepage — Studio Hire slide — button,Studio Hire
home.hero.slides.hero_studio_hire.headline,Homepage — Studio Hire slide — headline,Studio Hire
home.hero.slides.hero_studio_hire.image.alt,Homepage — Studio Hire slide — image description (accessibility),Studio space available for hire at County Hall
home.quickactions.items.book_a_class.description,Homepage — Get started — Book A Class description,View the weekly timetable and reserve your place.
home.quickactions.items.book_a_class.label,Homepage — Get started — Book A Class label,Book a Class
home.quickactions.items.book_a_course.description,Homepage — Get started — Book A Course description,Term-length programmes with clear progression.
home.quickactions.items.book_a_course.label,Homepage — Get started — Book A Course label,Book a Course
home.quickactions.items.free_trial.description,Homepage — Get started — Free Trial description,Try a class with no obligation — we welcome newcomers.
home.quickactions.items.free_trial.label,Homepage — Get started — Free Trial label,Free Trial
home.quickactions.linksuffix,Homepage — Get started — link text on each card,Learn more →
home.quickactions.overline,Homepage — Get started — small label above the heading,Get started
home.events.items.contemporary_intensive_maya_chen.booknow.label,Homepage — Events — Contemporary Intensive with Maya Chen — button,Book Now
home.events.items.contemporary_intensive_maya_chen.date,Homepage — Events — Contemporary Intensive with Maya Chen — date,Saturday 18 October 2026
home.events.items.contemporary_intensive_maya_chen.image.alt,Homepage — Events — Contemporary Intensive with Maya Chen — image description (accessibility),Contemporary dance intensive workshop
home.events.items.contemporary_intensive_maya_chen.location,Homepage — Events — Contemporary Intensive with Maya Chen — location,Studio A
home.events.items.contemporary_intensive_maya_chen.title,Homepage — Events — Contemporary Intensive with Maya Chen — heading,Contemporary Intensive with Maya Chen
home.events.items.junior_ballet_masterclass.booknow.label,Homepage — Events — Junior Ballet Masterclass — button,Book Now
home.events.items.junior_ballet_masterclass.date,Homepage — Events — Junior Ballet Masterclass — date,Sunday 26 October 2026
home.events.items.junior_ballet_masterclass.image.alt,Homepage — Events — Junior Ballet Masterclass — image description (accessibility),Junior ballet masterclass in progress
home.events.items.junior_ballet_masterclass.location,Homepage — Events — Junior Ballet Masterclass — location,Studio B
home.events.items.junior_ballet_masterclass.title,Homepage — Events — Junior Ballet Masterclass — heading,Junior Ballet Masterclass
home.events.items.musical_theatre_workshop_day.booknow.label,Homepage — Events — Musical Theatre Workshop Day — button,Book Now
home.events.items.musical_theatre_workshop_day.date,Homepage — Events — Musical Theatre Workshop Day — date,Saturday 8 November 2026
home.events.items.musical_theatre_workshop_day.image.alt,Homepage — Events — Musical Theatre Workshop Day — image description (accessibility),Musical theatre workshop participants on stage
home.events.items.musical_theatre_workshop_day.location,Homepage — Events — Musical Theatre Workshop Day — location,Main Hall
home.events.items.musical_theatre_workshop_day.title,Homepage — Events — Musical Theatre Workshop Day — heading,Musical Theatre Workshop Day
home.events.items.winter_showcase.booknow.label,Homepage — Events — Winter Showcase — button,Book Now
home.events.items.winter_showcase.date,Homepage — Events — Winter Showcase — date,Friday 12 December 2026
home.events.items.winter_showcase.image.alt,Homepage — Events — Winter Showcase — image description (accessibility),Winter showcase performance lighting
home.events.items.winter_showcase.location,Homepage — Events — Winter Showcase — location,County Hall Theatre
home.events.items.winter_showcase.title,Homepage — Events — Winter Showcase — heading,Winter Showcase — Tickets On Sale
home.events.overline,Homepage — Events — small label above the heading,What's on
home.events.title,Homepage — Events — heading,Upcoming masterclasses & events
home.events.viewall.label,Homepage — Events — View all link,View all events →
