id,location,text
home.hero.slides.hero_intro.headline,"Slide 1 (intro) — big title at the top","Discover dance, movement and creative experiences at London's iconic County Hall."
home.hero.slides.hero_intro.blurb,"Slide 1 (intro) — description under the title","Dance, movement and creative experiences at London's iconic County Hall on the South Bank — classes, workshops and events for adults of every background and level of experience."
home.hero.slides.hero_intro.cta.label,"Slide 1 (intro) — button label","Explore Classes"
home.hero.slides.hero_intro.image.alt,"Slide 1 (intro) — image description (accessibility)","County Hall Dance Centre on the South Bank"
home.hero.slides.hero_classes.headline,"Slide 2 (Classes) — big title","Classes"
home.hero.slides.hero_classes.blurb,"Slide 2 (Classes) — description under the title","Explore adult classes in Contemporary, Chinese Dance, Tango, Yoga and Tai Chi."
home.hero.slides.hero_classes.cta.label,"Slide 2 (Classes) — button label","View Classes"
home.hero.slides.hero_classes.image.alt,"Slide 2 (Classes) — image description (accessibility)","Adult dance class at County Hall Dance Centre"
home.hero.slides.hero_events.headline,"Slide 3 (Events) — big title","Events"
home.hero.slides.hero_events.blurb,"Slide 3 (Events) — description under the title","Milongas, themed social nights, masterclasses and cross-arts events."
home.hero.slides.hero_events.cta.label,"Slide 3 (Events) — button label","View Events"
home.hero.slides.hero_events.image.alt,"Slide 3 (Events) — image description (accessibility)","Social dance night at County Hall Dance Centre"
home.hero.slides.hero_private_lessons.headline,"Slide 4 (Private Lessons) — big title","Private Lessons & Experiences"
home.hero.slides.hero_private_lessons.blurb,"Slide 4 (Private Lessons) — description under the title","Tailored sessions for individuals, couples, wedding first dances and small groups."
home.hero.slides.hero_private_lessons.cta.label,"Slide 4 (Private Lessons) — button label","Enquire"
home.hero.slides.hero_private_lessons.image.alt,"Slide 4 (Private Lessons) — image description (accessibility)","Private dance lesson at County Hall Dance Centre"
home.hero.slides.hero_studio_hire.headline,"Slide 5 (Studio Hire) — big title","Studio Hire"
home.hero.slides.hero_studio_hire.blurb,"Slide 5 (Studio Hire) — description under the title","A South Bank space for dance, theatre and film rehearsals, castings, workshops and events."
home.hero.slides.hero_studio_hire.cta.label,"Slide 5 (Studio Hire) — button label","Studio Hire"
home.hero.slides.hero_studio_hire.image.alt,"Slide 5 (Studio Hire) — image description (accessibility)","Studio space available for hire at County Hall"
home.hero.slides.hero_membership.headline,"Slide 6 (Membership) — big title","Membership"
home.hero.slides.hero_membership.blurb,"Slide 6 (Membership) — description under the title","A more flexible way to keep dancing, join events and belong to the community."
home.hero.slides.hero_membership.cta.label,"Slide 6 (Membership) — button label","Membership"
home.hero.slides.hero_membership.image.alt,"Slide 6 (Membership) — image description (accessibility)","Members enjoying a class at County Hall Dance Centre"
home.hero.previouslabel,"Hero carousel — Previous slide button (accessibility)","Previous"
home.hero.nextlabel,"Hero carousel — Next slide button (accessibility)","Next"
ui.hero.featuredhighlights,"Hero carousel — screen-reader label for the banner","Featured highlights"
ui.hero.slidenavigation,"Hero carousel — screen-reader label for slide dots","Slide navigation"
ui.hero.slideprefix,"Hero carousel — screen-reader prefix before slide number","Slide"
